diametro,ingredientes,borda,preco
20,2,0,45
20,3,0,50
20,4,0,56
20,5,0,63
20,6,0,70
20,7,0,78

20,2,1,58
20,3,1,64
20,4,1,71
20,5,1,79
20,6,1,87
20,7,1,96

22,2,0,52
22,3,0,58
22,4,0,65
22,5,0,73
22,6,0,81
22,7,0,90

22,2,1,66
22,3,1,73
22,4,1,81
22,5,1,90
22,6,1,99
22,7,1,109

24,2,0,60
24,3,0,67
24,4,0,75
24,5,0,84
24,6,0,93
24,7,0,103

24,2,1,75
24,3,1,83
24,4,1,92
24,5,1,102
24,6,1,113
24,7,1,125

26,2,0,69
26,3,0,77
26,4,0,86
26,5,0,96
26,6,0,107
26,7,0,119

26,2,1,85
26,3,1,94
26,4,1,104
26,5,1,115
26,6,1,127
26,7,1,140

28,2,0,79
28,3,0,88
28,4,0,98
28,5,0,109
28,6,0,121
28,7,0,134

28,2,1,96
28,3,1,106
28,4,1,117
28,5,1,129
28,6,1,142
28,7,1,156

30,2,0,90
30,3,0,100
30,4,0,111
30,5,0,123
30,6,0,136
30,7,0,150

30,2,1,108
30,3,1,119
30,4,1,131
30,5,1,144
30,6,1,158
30,7,1,173
